Latitude,Longitude,Rx(dB),Best unit
-2.47491,-44.22640,4.60000,"1"
-2.47491,-44.22281,3.00000,"1"
-2.47491,-44.21920,6.60000,"1"
-2.47491,-44.21561,-9.40000,"0"
-2.47850,-44.24438,7.60000,"1"
-2.47850,-44.24079,6.30000,"1"
-2.47850,-44.23719,8.50000,"1"
-2.47850,-44.23359,4.00000,"1"
-2.47850,-44.23000,2.30000,"1"
-2.47850,-44.22640,-0.20000,"1"
-2.47850,-44.22280,-3.00000,"1"
-2.47850,-44.21920,6.80000,"1"
-2.47850,-44.21561,-1.70000,"0"
-2.47850,-44.21201,-4.30000,"0"
-2.48209,-44.25878,-0.10000,"1"
-2.48209,-44.25518,0.60000,"1"
-2.48209,-44.25158,-2.10000,"1"
-2.48209,-44.24798,0.40000,"1"
-2.48209,-44.24439,5.00000,"1"
-2.48209,-44.24079,11.60000,"1"
-2.48209,-44.23720,13.70000,"1"
-2.48209,-44.23359,4.90000,"1"
-2.48209,-44.23000,11.50000,"1"
-2.48209,-44.22640,10.20000,"1"
-2.48209,-44.22280,9.80000,"1"
-2.48209,-44.21920,0.30000,"0"
-2.48209,-44.21561,3.90000,"1"
-2.48569,-44.30195,3.70000,"1"
-2.48569,-44.29835,2.70000,"1"
-2.48569,-44.29475,5.60000,"1"
-2.48569,-44.28396,5.20000,"1"
-2.48569,-44.28036,7.40000,"1"
-2.48569,-44.27677,7.70000,"1"
-2.48569,-44.27317,7.20000,"1"
-2.48569,-44.26957,-3.70000,"1"
-2.48569,-44.26597,20.80000,"1"
-2.48569,-44.26237,21.30000,"1"
-2.48569,-44.25878,23.80000,"1"
-2.48569,-44.25518,19.00000,"1"
-2.48569,-44.25159,21.30000,"1"
-2.48569,-44.24798,17.80000,"1"
-2.48569,-44.24439,14.50000,"1"
-2.48569,-44.24079,11.60000,"1"
-2.48569,-44.23720,10.10000,"1"
-2.48569,-44.23359,6.30000,"1"
-2.48569,-44.23000,5.70000,"1"
-2.48569,-44.22640,10.30000,"1"
-2.48569,-44.22281,11.00000,"1"
-2.48569,-44.21920,8.70000,"1"
-2.48569,-44.21561,5.40000,"0"
-2.48569,-44.21201,2.00000,"0"
-2.48928,-44.30554,5.80000,"0"
-2.48928,-44.30195,8.70000,"0"
-2.48928,-44.29835,7.50000,"0"
-2.48928,-44.29475,5.50000,"0"
-2.48928,-44.29115,9.60000,"0"
-2.48928,-44.28756,5.60000,"0"
-2.48928,-44.28395,2.70000,"0"
-2.48928,-44.28036,25.80000,"1"
-2.48928,-44.27676,12.90000,"1"
-2.48928,-44.27317,20.40000,"1"
-2.48928,-44.26957,24.80000,"1"
-2.48928,-44.26597,19.00000,"1"
-2.48928,-44.26237,19.70000,"1"
-2.48928,-44.25878,24.70000,"1"
-2.48928,-44.25518,19.10000,"1"
-2.48928,-44.25158,19.70000,"1"
-2.48928,-44.24798,23.00000,"1"
-2.48928,-44.24438,12.90000,"1"
-2.48928,-44.24079,8.80000,"1"
-2.48928,-44.23719,16.50000,"1"
-2.48928,-44.23359,5.40000,"0"
-2.48928,-44.23000,7.00000,"1"
-2.48928,-44.22639,6.20000,"1"
-2.48928,-44.22280,12.50000,"1"
-2.48928,-44.21920,12.10000,"0"
-2.48928,-44.21561,9.70000,"0"
-2.48928,-44.21201,3.50000,"0"
-2.49287,-44.30554,11.80000,"0"
-2.49287,-44.30194,7.80000,"0"
-2.49287,-44.29834,6.20000,"0"
-2.49287,-44.29475,6.10000,"0"
-2.49287,-44.29115,13.00000,"0"
-2.49287,-44.28756,9.90000,"0"
-2.49287,-44.28395,21.80000,"1"
-2.49287,-44.28036,29.20000,"1"
-2.49287,-44.27676,21.00000,"1"
